ID,X273C1,X273C2,X273sh18.2,X273sh18.1,X273sh53.2,X273sh53.1,X379C1,X379C2,X379sh18.2,X379sh18.1
ENSG00000204518,2,1,0,0,0,4,0,0,0,0
ENSG00000226166,0,0,0,0,0,0,0,0,0,0
ENSG00000188984,0,0,0,2,0,0,0,0,0,1
ENSG00000157330,9,1,0,1,0,1,1,1,0,0
ENSG00000116726,0,1,0,0,0,1,0,0,0,0
ENSG00000116721,1,0,0,0,0,0,0,0,0,0
ENSG00000228338,1,0,0,0,0,0,0,0,0,0
ENSG00000239810,1,0,0,0,0,0,0,0,0,0
ENSG00000231103,5,0,0,3,1,4,0,1,0,0
ENSG00000179172,1,3,3,3,1,2,1,0,0,0
ENSG00000120952,0,0,0,0,0,1,1,0,0,0
ENSG00000243073,1,0,0,1,0,5,0,1,0,1
ENSG00000187545,3,1,0,1,0,5,0,0,0,0
ENSG00000204510,0,0,0,0,0,0,0,0,0,0
ENSG00000207434,0,0,0,0,0,0,0,0,0,0
ENSG00000234064,0,0,0,0,0,0,0,0,0,0
ENSG00000232423,0,0,0,0,0,0,0,0,0,0
ENSG00000274178,0,0,0,0,0,0,0,0,0,0
ENSG00000274764,1,0,0,0,0,0,0,0,0,0
ENSG00000229571,0,0,0,0,0,0,0,0,0,0
ENSG00000277058,0,2,1,0,0,0,0,1,0,0
ENSG00000277862,0,0,0,0,0,0,0,0,0,0
ENSG00000236179,0,0,0,0,0,3,0,0,0,0
ENSG00000275774,1,0,0,3,1,0,0,1,0,0
ENSG00000229978,0,0,0,0,0,0,0,0,0,0
ENSG00000233336,0,0,0,0,0,0,0,0,0,0
ENSG00000280267,3,0,0,0,0,0,0,0,0,0
ENSG00000179412,1,0,0,0,0,0,0,0,0,0
ENSG00000204505,1,0,0,0,0,1,0,0,0,0
ENSG00000279169,0,0,0,0,0,0,0,0,0,0
ENSG00000279804,1,0,0,1,0,1,0,0,0,1
ENSG00000250894,2,0,0,1,0,0,0,0,0,0
ENSG00000270601,1,0,0,1,0,0,0,0,0,0
ENSG00000231219,0,0,0,0,0,0,0,0,0,0
ENSG00000207511,0,0,0,0,0,0,0,0,0,0
ENSG00000182330,0,0,0,0,0,0,0,0,0,0
ENSG00000204501,0,0,0,1,0,2,0,1,0,1
ENSG00000237700,0,0,0,1,0,1,1,0,0,0
ENSG00000228229,0,0,0,0,0,0,0,0,0,0
ENSG00000204481,1,0,0,1,0,0,0,1,0,0
ENSG00000204480,1,0,0,0,0,0,0,0,0,0
ENSG00000204479,6,0,1,2,0,4,0,0,0,2
ENSG00000204478,0,0,0,0,0,0,0,0,0,0
